이름,영문 이름,defName,출처 모드,packageId,건축 탭,크기,칸 수,통행,전력,중력선,특징,연구,건설 비용,체력,작업량,아름다움,지형 조건,포장 가능,설명,제작 레시피 수,대표 제작품,실제 적용값(모드 설정)
기계 작업대,machining table,TableMachining,코어,ludeon.rimworld,생산,3x1,3,통과만,-350 W,,"조명 반경 5 / 연결 가능 설비 1종 / 작업칸 (0,0,-1)",machining,"Steel 150, ComponentIndustrial 5",180,3000,,Medium,예,총을 조립하거나 메카노이드를 분해할 수 있는 작업대입니다.,86,"포터라인 카트리지, 파이어미션 카트리지, 구원의 카트리지, 조연제, 신생의 구체, 의족, 의수, 인공심장, 인공와우, 메카노이드와 드론 분해, 고폭탄, 소이탄, 펄스탄, 연막탄, 소방거품탄, 보호막 벨트, 방탄모, 강화 방탄모, 연막 가방, 소방거품 등짐, 방탄조끼, 방탄바지, 방탄재킷, 리볼버, 자동권총, 기관권총, 소이탄 발사기, 연막 발사기, 펄스 발사기, 볼트액션 소총, 산탄총, 전투 산탄총, 기관단총, 경기관총, 돌격소총, 저격소총, 미니건, 파편 수류탄, 화염병, 펄스 수류탄, 정신 압박기, 드릴 팔, 농업용 기계손, 칼",
단조 작업대,fueled smithy,FueledSmithy,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"연료 WoodLog 50.0 / 연결 가능 설비 1종 / 작업칸 (0,0,-1)",smithing,Steel 100,180,3000,,Medium,예,무기와 도구를 생산하기 위한 작업대입니다. 나무를 태워 작동합니다.,93,"엘텍스 지팡이, 엘텍스 헬멧, 엘텍스 해골모, 신생의 구체, 방탄모, 판금갑옷, 파괴용 도끼, 철퇴, 검, 장검, 곤봉, 단검, 단창, 창, 단궁, 투창 다발, 곡궁, 장궁, 하프, 하프시코드, 피아노, 장식관, 왕관, 도끼, 전투망치, 가시관, 아동용 방탄모, 비비안 어펜드, 위신 판금 갑옷, 엘텍스 단검, 엘텍스 곤봉, 엘텍스 검, 전투 망치 (드라고니안 프리무스), 용발톱 (드라고니안 프리무스), 분노의 칼날 (드라고니안 프리무스), 드라고니안 메이스, 드라고니안 대검, 드라고니안 엘텍스 스태프, 드라고니안 투창기, 드라고니안",
도축 작업대,butcher table,TableButcher,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",,"재질(Metallic/Woody) 75, WoodLog 20",180,2000,,Medium,예,죽은 생물을 생고기 조각으로 가공할 때 사용하는 무거운 탁자입니다. 썩거나 백골화 된 시체는 도축할 수 없습니다.,3,"압축 물고기 사료, 도축, 사료",
발효통,fermenting barrel,FermentingBarrel,코어,ludeon.rimworld,생산,1x1,1,통과만,,,,beer brewing,"Steel 10, WoodLog 30",100,600,,Light,예,맥아즙을 맥주로 발효하는데 필요한 통입니다.,,,
석재 절삭대,stonecutter's table,TableStonecutter,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",stonecutting,"재질(Metallic/Woody) 75, Steel 30",180,2000,,Heavy,예,거친 돌을 잘라 사용하기 좋은 석재로 만드는 작업대입니다.,13,"석재 만들기, 사암 석재, 화강암 석재, 석회암 석재, 점판암 석재, 대리석 석재, 진공암 석재, 강철, 부품, 목재, 화학연료, 천, 중력 감응판 소재",
수경재배기,hydroponics basin,HydroponicsBasin,코어,ludeon.rimworld,생산,1x4,4,통과만,-70 W,,,hydroponics,"Steel 100, ComponentIndustrial 1",180,2800,,Medium,,실내에서 작물을 빠르게 길러냅니다. 전기가 끊기면 심어놓은 식물들도 죽습니다.,,,
스토브,fueled stove,FueledStove,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"연료 WoodLog 50.0 / 열 4/초 / 작업칸 (0,0,-1)",,Steel 80,180,2000,,Medium,예,식재료로 식사를 준비하기 위한 간단한 스토브입니다. 나무를 태워 작동합니다.,41,"간단한 빵, 좋은 빵, 호화로운 빵, 미식적인 빵, 간단한 디저트, 좋은 디저트, 호화로운 디저트, 미식적인 디저트, 미식적인 식사, 끓이지 않은 간단한 수프, 끓이지 않은 좋은 수프, 끓이지 않은 호화로운 수프, 끓이지 않은 미식적인 수프, 초월공학 채식주의 식사, 초월공학 육식주의 식사, 초월공학 식사, 밀리라 여행용 식량, 밀리라 식용 색소, 모에로틀 꼬리구이, 엽화떡, 모에로틀 꼬리파이, 장막 차, 광이차, 간단한 식사, 좋은 식사, 좋은 채식주의 식사, 좋은 육식주의 식사, 호화로운 식사, 호화로운 채식주의 식사, 호화로운",
심층 굴착기,deep drill,DeepDrill,코어,ludeon.rimworld,생산,1x1,1,통과만,-200 W,,"작업칸 (0,0,-1) / 설치조건: InvalidOverSubstructure",deep drilling,"Steel 100, ComponentIndustrial 2",300,10000,-25,Light,예,이동 가능한 굴착 장비입니다. 지면 투과 탐색기를 이용해 찾아낸 지하 자원을 추출하기 위해 사용됩니다. 자원이 없는 곳에서는 암석 덩어리를 생산합니다.,,,
약물 연구대,drug lab,DrugLab,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",drug production,"재질(Metallic/Woody) 50, Steel 75, ComponentIndustrial 6",120,3500,,Medium,예,"다양한 약물 제조에 필요한 용기, 가열장치, 측정 도구로 이루어진 작업대입니다.",26,"성운액, 드라고니안 화이트 초콜릿, 드라고니안 뿔 (드라고니안 프리무스), 드라고니안 가죽 (드라고니안 프리무스), 혈액팩, 뉴트로아민, 생체강, 고주스, 페녹시실린, 플레이크, 야요, 연초, 웨이크업, 약품, 고급 약초, 진정 약초 연고, 회복 약초 연고, 저그 군락유도 페르몬 방출기, 집중제, 사이클포친, 하이포, 락-C, 옴니 드롭, 독약, 스마우굼, 트랜스",
양조대,brewery,Brewery,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"작업칸 (0,0,-1)",beer brewing,"WoodLog 120, Steel 30",180,2000,,Medium,예,술보리로 맥아즙을 만드는 작업대입니다.,1,맥아즙,
연구 작업대,simple research bench,SimpleResearchBench,코어,ludeon.rimworld,생산,3x2,6,통과만,,,"작업칸 (0,0,-1)",,"재질(Metallic/Woody/Stony) 75, Steel 25",250,2800,,Medium,예,간단한 문서 도구와 기초적인 실험도구를 갖춘 작업대입니다. 과학자들이 새로운 기술을 발견하는데 사용됩니다.,,,
연료 정제기,biofuel refinery,BiofuelRefinery,코어,ludeon.rimworld,생산,3x2,6,통과만,-170 W,,"작업칸 (0,0,-1)",biofuel refining,"Steel 150, ComponentIndustrial 3",200,2000,,Heavy,,목재나 유기물을 정제하여 연료를 생산합니다.,2,"태양 연료, 화학연료",
영양죽 배급기,nutrient paste dispenser,NutrientPasteDispenser,코어,ludeon.rimworld,생산,3x4,12,불가,-200 W,,"작업칸 (0,0,3)",nutrient paste,"Steel 125, ComponentIndustrial 3",350,2200,,Heavy,,식재료로 영양분 반죽을 합성합니다. 진짜 요리보다 더 적은 재료와 시간이 들지만 아무도 이걸 먹고 싶어 하진 않습니다. 건초 같은 거친 식물성 재료는 받아들이지 않습니다.,,,
영양죽 투입구,hopper,Hopper,코어,ludeon.rimworld,생산,1x1,1,통과만,,,저장,nutrient paste,Steel 15,100,300,,Light,,영양죽 배급기가 사용할 자원을 담아두는 곳입니다.,,,
재봉 작업대,hand tailor bench,HandTailoringBench,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",complex clothing,재질(Metallic/Woody) 75,180,2000,,Medium,예,의류 생산을 위한 작업대입니다. 전기 작업대의 50% 속도로 작동합니다.,115,"누더기, 엘텍스 로브, 엘텍스 가면, 엘텍스 망토, 엘텍스 재킷, 엘텍스 셔츠, 카우보이 모자, 중산모, 부족 쓰개, 털모자, 전쟁가면, 전쟁베일, 두건, 마스크, 몸싸개, 파카, 바지, 티셔츠, 셔츠, 바람막이, 재킷, 망토, 로브, 예복 셔츠, 코르셋, 예복 조끼, 화려한 로브, 귀부인 모자, 높은 모자, 베레모, 머리싸개, 히잡, 가면, 슬라이스 캡, 노예 사슬, 지휘모, 꼬리모자, 삿갓, 벙거지 모자, 노예 구속구, 부르카, 안대, 아동용 원피스, 아동용 셔츠, 아동용 바지, 아동용 파카, 아동용 몸싸개, 탄약대, 현장, 실",
전기 단조 작업대,electric smithy,ElectricSmithy,코어,ludeon.rimworld,생산,3x1,3,통과만,-210 W,,"연결 가능 설비 1종 / 열 4/초 / 작업칸 (0,0,-1)","smithing, electricity","Steel 100, ComponentIndustrial 3",180,3000,,Medium,예,기계가 사용되지 않는 금속 무기와 도구를 생산하기 위한 작업대입니다. 전기로 작동합니다.,93,"엘텍스 지팡이, 엘텍스 헬멧, 엘텍스 해골모, 신생의 구체, 방탄모, 판금갑옷, 파괴용 도끼, 철퇴, 검, 장검, 곤봉, 단검, 단창, 창, 단궁, 투창 다발, 곡궁, 장궁, 하프, 하프시코드, 피아노, 장식관, 왕관, 도끼, 전투망치, 가시관, 아동용 방탄모, 비비안 어펜드, 위신 판금 갑옷, 엘텍스 단검, 엘텍스 곤봉, 엘텍스 검, 전투 망치 (드라고니안 프리무스), 용발톱 (드라고니안 프리무스), 분노의 칼날 (드라고니안 프리무스), 드라고니안 메이스, 드라고니안 대검, 드라고니안 엘텍스 스태프, 드라고니안 투창기, 드라고니안",
전기 스토브,electric stove,ElectricStove,코어,ludeon.rimworld,생산,3x1,3,통과만,-350 W,,"열 3/초 / 작업칸 (0,0,-1)",electricity,"Steel 80, ComponentIndustrial 2",180,2000,,Medium,예,식재료로 식사를 준비하기 위한 전기 스토브입니다.,41,"간단한 빵, 좋은 빵, 호화로운 빵, 미식적인 빵, 간단한 디저트, 좋은 디저트, 호화로운 디저트, 미식적인 디저트, 미식적인 식사, 끓이지 않은 간단한 수프, 끓이지 않은 좋은 수프, 끓이지 않은 호화로운 수프, 끓이지 않은 미식적인 수프, 초월공학 채식주의 식사, 초월공학 육식주의 식사, 초월공학 식사, 밀리라 여행용 식량, 밀리라 식용 색소, 모에로틀 꼬리구이, 엽화떡, 모에로틀 꼬리파이, 장막 차, 광이차, 간단한 식사, 좋은 식사, 좋은 채식주의 식사, 좋은 육식주의 식사, 호화로운 식사, 호화로운 채식주의 식사, 호화로운",
전기 재봉 작업대,electric tailor bench,ElectricTailoringBench,코어,ludeon.rimworld,생산,3x1,3,통과만,-120 W,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)","complex clothing, electricity","재질(Metallic/Woody) 75, Steel 50, ComponentIndustrial 2",180,2500,,Medium,예,빠른 의류 생산을 위한 작업대입니다. 전기 없이도 50% 속도로 작동합니다.,115,"누더기, 엘텍스 로브, 엘텍스 가면, 엘텍스 망토, 엘텍스 재킷, 엘텍스 셔츠, 카우보이 모자, 중산모, 부족 쓰개, 털모자, 전쟁가면, 전쟁베일, 두건, 마스크, 몸싸개, 파카, 바지, 티셔츠, 셔츠, 바람막이, 재킷, 망토, 로브, 예복 셔츠, 코르셋, 예복 조끼, 화려한 로브, 귀부인 모자, 높은 모자, 베레모, 머리싸개, 히잡, 가면, 슬라이스 캡, 노예 사슬, 지휘모, 꼬리모자, 삿갓, 벙거지 모자, 노예 구속구, 부르카, 안대, 아동용 원피스, 아동용 셔츠, 아동용 바지, 아동용 파카, 아동용 몸싸개, 탄약대, 현장, 실",
전기 화장터,electric crematorium,ElectricCrematorium,코어,ludeon.rimworld,생산,3x2,6,불가,-250 W,,"조명 반경 6 / 열 12/초 / 작업칸 (0,0,-1)",electricity,"재질(Stony) 150, Steel 20, ComponentIndustrial 2",300,4500,-10,Heavy,,전기로 시체를 소각하는 곳입니다.,6,"중력감응판, 신체 부위 소각하기, 시체 화장, 의류 소각, 무기 소각, 약물 소각",
전기로,electric smelter,ElectricSmelter,코어,ludeon.rimworld,생산,3x1,3,통과만,-700 W,,"조명 반경 6 / 열 9/초 / 작업칸 (0,0,-1)",electricity,"Steel 170, ComponentIndustrial 2",180,3500,,Heavy,예,고철 덩어리나 금속이 혼합된 물품에서 금속을 추출합니다. 전기가 많이 소비됩니다.,12,"드라고니안 생체철, 강철, 분쇄석, 플라스틸, 우라늄, 은, 금, 용해 처리, 무기 분해, 의류 분해, 무기 처리, 의류 처리",
조립 작업대,fabrication bench,FabricationBench,코어,ludeon.rimworld,생산,5x2,10,통과만,-250 W,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",fabrication,"Steel 200, ComponentIndustrial 12, ComponentSpacer 2",300,5000,,Heavy,,더 적은 재료로 발달된 장비를 만들 수 있는 작업대입니다.,158,"빔 그레이저, 합성 키틴강, 상급 서브코어, 표준 서브코어, 드라고니안 타락한 보주, 부품, 고급 부품, 합성원단, 초경조직 천, 생체공학 눈, 생체공학 팔, 생체공학 다리, 생체공학 척추, 생체공학 심장, 생체공학 위, 생체공학 귀, 생체공학 혀, 생체공학 턱, 해병대 헬멧, 정찰대 헬멧, 해병대 갑옷, 정찰대 갑옷, 차지 라이플, 차지 랜스, 연산 보조기, 학습 보조기, 후각 증폭기, 면역 증진기, 항출혈기, 재생력 증진기, 튼튼한 피부, 갑옷 피부, 바위 피부, 외형 교정기, 인상 교정기, 애정 증진기, 해독강화 위, 소화강화",
조소 작업대,art bench,TableSculpting,코어,ludeon.rimworld,생산,3x1,3,통과만,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",,"재질(Metallic/Woody) 75, Steel 50",180,2500,,Medium,예,조각용 도구가 배치된 작업대입니다.,7,"소형 조각상, 대형 조각상, 초대형 조각상, 기괴한 조각상, 공허 조각상, 조각상, 월리엄 레싱",
첨단 연구 작업대,hi-tech research bench,HiTechResearchBench,코어,ludeon.rimworld,생산,5x2,10,통과만,-250 W,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",microelectronics,"재질(Metallic) 150, Steel 100, ComponentIndustrial 10",250,5000,,Heavy,,컴퓨터와 계측장치를 갖춘 고급 연구 작업대입니다. 연구 속도가 빠르며 고급 연구를 가능하게 합니다.,,,
당구대,billiards table,BilliardsTable,코어,ludeon.rimworld,오락,2x3,6,통과만,,,,complex furniture,"재질(Metallic/Woody/Stony) 80, Cloth 80, WoodLog 30",250,12000,0,Medium,예,"부드러운 재질로 위를 덮고 테두리를 덧붙인 탁자로, 당구와 관련된 여러 놀이들을 즐길 수 있습니다. 사격 기술을 훈련할 수 있습니다.",,,
우르의 왕실 게임,Game-of-Ur board,GameOfUrBoard,코어,ludeon.rimworld,오락,1x1,1,통과만,,,,,재질(Metallic/Woody/Stony) 35,90,6000,2,Light,예,기원전 2500년대에 발명된 흥미로운 보드게임으로 혼자서 또는 둘이서 즐길 수 있습니다. 연구 기술을 훈련할 수 있습니다.,,,
음극선관 TV,tube television,TubeTelevision,코어,ludeon.rimworld,오락,1x1,1,통과만,-200 W,,,tube television,"Steel 80, ComponentIndustrial 4",100,10000,,Light,예,움직이는 사진과 소리를 재생하는 음극선관 장치입니다. 이런 변경계에서도 구닥다리 송출기가 보내주는 시시한 프로그램은 잘 잡힙니다.,,,
체스 탁자,chess table,ChessTable,코어,ludeon.rimworld,오락,1x1,1,통과만,,,,complex furniture,재질(Metallic/Woody/Stony) 70,100,8000,4,Light,예,고대 왕들의 놀이입니다. 혼자서도 몇 시간 재밌게 보낼 수 있습니다. 연구 기술을 훈련할 수 있습니다.\n\n인접한 의자가 필요합니다.,,,
편자 막대,horseshoes pin,HorseshoesPin,코어,ludeon.rimworld,오락,1x1,1,가능,,,,,재질(Metallic/Woody/Stony) 10,75,100,,Light,예,"간단한 고대의 놀이로, 몇 개의 편자와 땅에 박힌 큰 막대만으로 즐길 수 있습니다. 참가자들은 멀리 떨어져서 편자를 던져 막대 근처에 착지시켜야 합니다. 긴장을 풀어주며 사격 기술을 훈련할 수 있습니다.",,,
평면 TV,flatscreen television,FlatscreenTelevision,코어,ludeon.rimworld,오락,2x1,2,통과만,-330 W,,,flatscreen television,"Steel 140, ComponentIndustrial 16",80,40000,,Light,예,선명한 화면과 풍부한 색감을 지닌 고급 평면 텔레비전입니다. 고대 위성이나 널리 보급된 데이터 카드들의 신호를 송신합니다.,,,
포커 탁자,poker table,PokerTable,코어,ludeon.rimworld,오락,2x2,4,통과만,,,,complex furniture,"재질(Metallic/Woody/Stony) 50, Cloth 50, WoodLog 25",250,10000,0,Light,예,포커류의 카드게임을 하기 위한 탁자입니다. 전략적 사고와 약간의 운을 시험할 좋은 방법입니다.\n\n인접한 의자가 필요합니다.,,,
후프스톤 링,hoopstone ring,HoopstoneRing,코어,ludeon.rimworld,오락,1x1,1,가능,,,,,재질(Metallic/Woody/Stony) 20,100,100,,Light,예,"간단한 고대의 놀이로, 몇 개의 돌조각과 원형 바닥판 하나만으로 즐길 수 있습니다. 참가자들은 멀리 떨어져서 돌을 던져 바닥판 안에 넣어야 합니다. 긴장을 풀어주며 사격 기술을 훈련할 수 있습니다.",,,
냉방기,cooler,Cooler,코어,ludeon.rimworld,온도,1x1,1,불가,-200 W,,온도조절 -21 / 설치조건: Cooler,air conditioning,"Steel 90, ComponentIndustrial 3",100,1600,,Medium,,"벽에 설치하는 공기 냉각기입니다. 한 쪽으로는 찬 공기가, 다른 쪽으로는 뜨거운 공기가 나옵니다. 방을 시원하게 만들거나 냉동고를 만들 때 사용할 수 있습니다.",,,
모닥불,campfire,Campfire,코어,ludeon.rimworld,온도,1x1,1,통과만,,,"연료 WoodLog 20.0 / 조명 반경 10 / 열 21/초 / 작업칸 (0,0,-1) / 설치조건: Heater",,WoodLog 20,80,200,,Light,,요리를 하거나 방의 온도를 높입니다. 며칠간 지속됩니다. 다른 열원들과 마찬가지로 방을 덥히기 위해선 밀폐된 공간에 배치되어야 합니다. 나무를 채워 넣을 수 있습니다.,18,"모에로틀 꼬리구이, 장막 차, 신체 부위 소각하기, 광이차, 간단한 식사, 페미컨, 의류 소각, 무기 소각, 약물 소각, 이유식, 인삼 달인 물, 에키네시아 달인 물, 발레리안(쥐오줌풀) 달인 물, 쑥 달임약, 린덴 차, 캐모마일 차, 타임 차, 은행나무 차",
